product_name,price,rating,sell,location,shop_name,kategori
ADVAN Laptop Workplus AMD RYZEN 5 6600H 14'' FHD IPS 16GB 512GB Win 11 - Grey,Rp7.299.000,4.9,1rb+ terjual,Kab. Tangerang,Advan Official Store,laptop
Workstation Dell Precision 3571 i7 Gen12 vPro 32GB 1TBSSD W10Pro,Rp35.100.000,5.0,2 terjual,Jakarta Utara,Multipro.id,laptop
"Laptop ADVAN Soulmate Celeron N4020 4GB/128GB (upgradable) 14"" HD - WINDOWS GREY",Rp2.299.000,4.9,2rb+ terjual,Kab. Tangerang,Advan Official Store,laptop
ULTRABOOK DELL 5300 i5-8350 8TH GEN/ 16GB RAM L/ 512GB SSD/ THUNDERBOT,Rp3.100.000,5.0,21 terjual,Kab. Bogor,Dara speed comp,laptop
Laptop Hp 8440p Core i5 - Super murah - Bergaransi,Rp1.830.510,4.6,1rb+ terjual,Bekasi,Debby Batavia Computer,laptop
"Apple MacBook Air (13 inci, M1 2020) 8/256GB Garansi Resmi",Rp10.829.500,4.9,250+ terjual,Jakarta Pusat,Scorpio Electro,laptop
Apple MacBook Air 2020 M1 Chip 13 inch 512GB Touch ID Grey Silver Gold,Rp11.875.000,5.0,2rb+ terjual,Jakarta Pusat,Studio Ponsel,laptop
"Apple MacBook Air 2022 M2 Chip 13"" Inch 512GB 256GB RAM 8GB",Rp14.415.000,4.9,1rb+ terjual,Jakarta Pusat,Studio Ponsel,laptop
ADVAN Laptop Workplus AMD RYZEN 5 6600H 14'' FHD IPS 16GB 512GB Win 11,Rp7.299.000,4.9,1rb+ terjual,Kab. Tangerang,Advan Official Store,laptop
Asus Vivobook 14X OLED M1403QA RYZEN 5 5600H 16GB 512SSD W11+OHS 2.8K,Rp8.632.000,4.9,100+ terjual,Jakarta Utara,AMD Official Store,laptop
Laptop Chuwi Minibook X 10.51 Inch Laptop Yoga 2 in 1 RAM 12GB SSD ,Rp6.199.000,4.9,100+ terjual,Jakarta Utara,Urban Gadget PIM,laptop
SPESIFIKASI TINGGI N TOUCHSCREEN ! DELL LATITUDE 7480 CORE i7 GEN 7,Rp3.500.000,5.0,8 terjual,Jakarta Barat,RedStar Electronic,laptop
TOUCHSCREEN ! LAPTOP HP ULTRABOOK 840 G3 CORE i5 RAM 8GB/256GB SSD,Rp1.775.000,5.0,3 terjual,Jakarta Barat,DAVE COM,laptop
Laptop Hp 8440p Core i5 - RAM 8 GB - HDD 320 GB,Rp1.830.510,4.8,100+ terjual,Bekasi,Debby Batavia Computer,laptop
"LAPTOP Acer Aspire AMD A8 / RAM 8GB / HDD 500GB / WIN 10 - Hitam, 4/500GB",Rp2.475.000,4.8,100+ terjual,Jakarta Barat,DAVE COM,laptop
"Asus Vivobook 14X M1403QA - Ryzen 5 5600H 16GB 512ssd W11+OHS 14""WUXGA",Rp7.358.000,5.0,500+ terjual,Jakarta Utara,Top Tech,laptop
"ASUS VIVOBOOK A416MAO DUALCORE N4020 4GB 256GB INTEL HD 14"" OHS W11",Rp4.189.000,4.9,1rb+ terjual,Jakarta Pusat,Protech Computer,laptop
"MacBook Pro 2022 M2 Chip 13"" Inch 512GB 256GB RAM 8GB Grey Silver",Rp22.065.000,4.9,1rb+ terjual,Jakarta Pusat,Studio Ponsel,laptop
Laptop HP 14s-dq3109TU N4500 256GB SSD 8GB Win+OHS Ori,Rp4.589.000,5.0,30+ terjual,Jakarta Selatan,Real Tech - HP Authorized,laptop
"Apple MacBook Air (13 inci, M1 2020)",Rp11.999.000,5.0,250+ terjual,Jakarta Pusat,jikalaku,laptop
Laptop Advan Soulmate [ 4/128GB ] - Intel Celeron N4020 Garansi Resmi,Rp2.061.500,5.0,100+ terjual,Jakarta Pusat,Scorpio Electro,laptop
"ASUS VIVOBOOK 14 A1405ZA i3 1215 8GB 512 SSD W11+OHS 14"" FHD IPS",Rp6.579.000,5.0,100+ terjual,Jakarta Utara,royalltech,laptop
Asus VivoBook 14X M1403QA Ryzen 5 5600H RAM 8GB 512G SSD IPS WUXGA W11,Rp7.509.000,5.0,250+ terjual,Jakarta Pusat,Distributor Laptop ID,laptop
"Laptop HP 14S DQ3110TU N4500 8GB 256GB SSD W11 OHS 14""",Rp4.229.000,5.0,100+ terjual,Jakarta Utara,royalltech,laptop
Lenovo V14 Gen 3 Core I3-1215u 4GB 256GB SSD 14 inch Full HD CBID,Rp4.999.000,4.9,250+ terjual,Jakarta Utara,Thinkpad Official Store,laptop
"Laptop itel Able 1S Intel Celeron N4020 4GB/256GB SSD 14"" Win11 Home",Rp1.999.000,5.0,60+ terjual,Jakarta Utara,GEEKOM OFFICIAL,laptop
"Laptop Lenovo Thinkpad T450 T450S Core i5/i7 Gen 5 Murah & berkualitas - T450 I5 GEN 5, RAM 4 HDD 500",Rp1.750.000,4.7,4 terjual,Jakarta Utara,Laptop Valley,laptop
Lenovo IP1 6YID N4020 8GB 256GB DOS Dolby Audio,Rp3.988.000,5.0,9 terjual,Surabaya,Lenovo Jatim,laptop
Laptop HP Chromebook 11 G7 Celeron N4000 Ram 4GB eMMC 32GB TouchScreen,Rp1.236.510,5.0,7 terjual,Bekasi,Debby Batavia Computer,laptop
Lenovo Thinkpad X240 X250 X260 X270 X280 ORIGINAL / BERGARANSI /MURAH,Rp1.760.000,4.9,750+ terjual,Bandung,Gitech Laptop,laptop
"ASUS VIVOBOOK TERMURAH GEN12 A1405ZA - I3 1215U 16GB 512SSD 14"" WUXGA",Rp6.879.000,4.9,100+ terjual,Jakarta Utara,Intel Store ID,laptop
Lenovo Ideapad Slim 3i Core i3-1115G4 8GB 512SSD Windows 11 OHS FHD 14,Rp5.599.000,4.9,750+ terjual,Jakarta Utara,Thinkpad Official Store,laptop
