,Name,Sell,Sold,Rating,Category,ShopName,Location
0,advan,2099000,1000,4.9,tablet,advan official store,kab. tangerang
1,apple,11530000,750,5.0,tablet,studio ponsel,jakarta pusat
2,apple,8660000,2000,4.9,tablet,studio ponsel,jakarta pusat
3,advan,1899000,3000,4.9,tablet,advan official store,kab. tangerang
4,advan,1831000,100,5.0,tablet,jikalaku,jakarta pusat
5,apple,8265000,250,4.9,tablet,studio ponsel,jakarta pusat
6,apple,11611000,500,5.0,tablet,wah gadget,jakarta barat
7,samsung,3499000,16 ,5.0,tablet,mhi - samsung authorized,jakarta selatan
8,apple,8199000,2000,4.9,tablet,new rizkyapple,jakarta pusat
9,xiaomi,4759000,60,5.0,tablet,super_gadget,jakarta pusat
10,samsung,6499000,100,5.0,tablet,samsung official store,jakarta utara
11,apple,4510000,3000,5.0,tablet,applewatchstuff,jakarta barat
12,advan,1839000,250,4.9,tablet,ca shop,jakarta utara
13,apple,6820000,100,4.9,tablet,studio ponsel,jakarta pusat
14,apple,4696000,250,4.9,tablet,distributor ponsel,jakarta pusat
15,huawei,4708000,1000,4.9,tablet,huawei official store,jakarta utara
16,samsung,5774500,90,4.9,tablet,senjaya selindo,jakarta pusat
17,samsung,17893000,100,4.9,tablet,dewa ponsel rakyat,jakarta pusat
18,apple,7490000,70,5.0,tablet,armyapple,jakarta utara
19,samsung,2453000,100,5.0,tablet,myfon teleshop official,tangerang
20,advan,1899000,50,4.9,tablet,advan official it store,kab. tangerang
21,apple,6596000,500,5.0,tablet,applewatchstuff,jakarta barat
22,advan,1100000,500,5.0,tablet,advan official store,kab. tangerang
23,huawei,2199000,100,4.9,tablet,huawei official store,jakarta utara
24,apple,6842000,100,4.9,tablet,studio ponsel,jakarta pusat
25,samsung,6999000,14 ,5.0,tablet,ini toko budi,jakarta selatan
26,samsung,17893000,250,4.9,tablet,distributor ponsel,jakarta pusat
27,apple,10016000,100,5.0,tablet,wah gadget,jakarta barat
28,samsung,3886500,60,4.8,tablet,jikalaku,jakarta pusat
29,advan,1899000,3000,4.9,tablet,advan official store,kab. tangerang
30,advan,1100000,500,5.0,tablet,advan official store,kab. tangerang
31,advan,1899000,100,5.0,tablet,advan official store,kab. tangerang
32,apple,6449000,750,4.9,tablet,new rizkyapple,jakarta pusat
33,apple,7353000,500,4.9,tablet,studio ponsel,jakarta pusat
34,apple,10999000,100,5.0,tablet,new rizkyapple,jakarta pusat
35,samsung,16999000,250,5.0,tablet,onestop ponsel,jakarta pusat
36,samsung,2453000,100,5.0,tablet,myfon teleshop official,tangerang
37,apple,4992000,500,5.0,tablet,igoods gadget,jakarta barat
38,samsung,1399000,100,4.9,tablet,jjstore.id,jakarta barat
39,samsung,6623500,250,5.0,tablet,pandawatiga,jakarta pusat
40,advan,1899000,40,4.9,tablet,topsell official,surabaya
41,apple,6505000,100,5.0,tablet,dewa ponsel rakyat,jakarta pusat
42,samsung,6499000,19 ,5.0,tablet,super_gadget,jakarta pusat
43,apple,9269000,100,4.9,tablet,ismile official store,jakarta pusat
44,apple,4482000,1000,5.0,tablet,wah gadget,jakarta barat
45,samsung,9477000,50,4.9,tablet,grenpeel store,jakarta pusat
46,samsung,1649000,90,5.0,tablet,jakarta ori store,jakarta utara
47,huawei,7008000,90,5.0,tablet,pvblic one,tangerang
48,xiaomi,2390000,11 ,5.0,tablet,chocoapple,jakarta pusat
49,advan,1830000,250,4.9,tablet,pandawatiga,jakarta pusat
50,apple,11530000,750,5.0,tablet,studio ponsel,jakarta pusat
51,samsung,9799000,100,4.9,tablet,putra group,jakarta pusat
52,huawei,2976000,50,5.0,tablet,mnm phone,jakarta pusat
53,apple,7779000,70,5.0,tablet,ismile official store,jakarta pusat
54,apple,4516000,100,5.0,tablet,onestop ponsel,jakarta pusat
55,samsung,850000,250,4.8,tablet,tokoacoy,jakarta utara
56,apple,4694500,40,5.0,tablet,pandawatiga,jakarta pusat
57,apple,7479000,60,4.6,tablet,ismile official store,jakarta pusat
58,apple,12071000,3 ,5.0,tablet,onestop ponsel,jakarta pusat
59,huawei,4896000,60,5.0,tablet,pvblic one,tangerang
60,apple,13749000,30,5.0,tablet,new rizkyapple,jakarta pusat
61,apple,6444000,100,4.9,tablet,istufforiginal,jakarta pusat
62,huawei,6099000,100,4.9,tablet,huawei official store,jakarta utara
63,apple,12504000,50,4.9,tablet,ismile official store,jakarta pusat
64,apple,8214000,100,5.0,tablet,onestop ponsel,jakarta pusat
65,apple,11475000,250,5.0,tablet,new rumahapple,jakarta pusat
66,samsung,6499000,100,5.0,tablet,samsung official store,jakarta utara
67,samsung,2099000,2000,5.0,tablet,memory collection,jakarta barat
68,samsung,1399000,100,4.9,tablet,jjstore.id,jakarta barat
69,samsung,2299000,100,4.9,tablet,samsung official store,jakarta utara
70,samsung,685000,5 ,5.0,tablet,anikishop,jakarta utara
71,advan,1831000,100,5.0,tablet,jikalaku,jakarta pusat
72,advan,1899000,3000,4.9,tablet,advan official store,kab. tangerang
73,advan,1100000,500,5.0,tablet,advan official store,kab. tangerang
74,xiaomi,4759000,60,5.0,tablet,super_gadget,jakarta pusat
75,advan,1831000,100,5.0,tablet,jikalaku,jakarta pusat
76,advan,1830000,250,4.9,tablet,pandawatiga,jakarta pusat
77,advan,1056000,40,5.0,tablet,dk-cell,jakarta pusat
