product_name,price,rating,sell,location,shop_name,kategori
Samsung Galaxy A54 5G 8/256GB - Awesome Graphite,Rp5.999.000,5.0,90+ terjual,Jakarta Selatan,MHI - Samsung Authorized,handphone
Samsung Galaxy S23 Ultra 12/256GB - Black,Rp17.999.000,5.0,5 terjual,Jakarta Selatan,MHI - Samsung Authorized,handphone
VIVO Y17 ORIGINAL NEW RAM 6GB ROM 128GB GARANSI 1 TAHUN - Mineral Blue,Rp698.000,4.9,100+ terjual,Jakarta Barat,Gudang Phone Cell 88,handphone
Samsung Galaxy A05 6/128 GB - 4/64 GB Garansi Resmi samsung indonesia,Rp1.369.000,4.9,100+ terjual,Jakarta Timur,ALL_SHOPE99,handphone
"NEW Samsung Galaxy A34 8/128GB 8/256GB 5G Black Lime SEIN - 8GB / 128GB, PROMO WHITE",Rp4.196.000,4.8,100+ terjual,Jakarta Pusat,tokohapedia,handphone
Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Rp15,4jt - Rp22,9jt",5.0,500+ terjual,Jakarta Pusat,iSmile Official Store,handphone
OPPO A58 6/128 8/128 GB RAM 6 8 ROM 128 6GB 8GB 128GB,"Rp2,13jt - Rp2,58jt",5.0,100+ terjual,Jakarta Pusat,SUPER_GADGET,handphone
Apple iPhone 15 Pro Garansi Resmi - 128GB 256GB 512GB 1T,"Rp19,8jt - Rp31,3jt",4.8,250+ terjual,Jakarta Pusat,iSmile Official Store,handphone
Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"Rp11,3jt - Rp13,9jt",5.0,1rb+ terjual,Jakarta Pusat,iSmile Official Store,handphone
Apple iPhone 14 Garansi Resmi - 128GB 256GB 512GB,"Rp12,7jt - Rp24,9jt",4.9,1rb+ terjual,Jakarta Pusat,iSmile Official Store,handphone
"Vivo V29 5G NFC 12/512GB 8/256GB 80W Fastcharge Garansi Resmi Not V27 - V29 8/256 Promo, Non Bundle",Rp4.954.000,4.9,100+ terjual,Jakarta Pusat,Onestop Ponsel,handphone
Oppo A18 4/128GB Garansi Resmi,Rp1.556.000,5.0,250+ terjual,Jakarta Pusat,Indotechstore,handphone
VIVO Y66 4/64GB GARANSI 1 TAHUN,Rp380.000,4.8,500+ terjual,Jakarta Barat,daystore_id,handphone
Oppo A58 NFC 6/128GB Garansi Resmi - not Oppo A57 A54 A78,Rp2.001.000,5.0,500+ terjual,Jakarta Pusat,Indotechstore,handphone
Samsung Galaxy A05 4/64GB + 4/128GB + 6/128 GB Garansi Resmi,Rp1.368.000,4.9,100+ terjual,Jakarta Barat,duniagadgetku,handphone
Infinix Hot 30 Play 4/64GB –  Garansi Resmi,Rp1.269.000,4.9,250+ terjual,Jakarta Utara,Infinix Official Store,handphone
iPhone 13 Garansi Resmi,"Rp11,3jt - Rp18,9jt",5.0,5rb+ terjual,Jakarta Barat,igoods gadget,handphone
Samsung Galaxy A04e 3/32GB,"Rp1,09jt - Rp1,24jt",4.9,3rb+ terjual,Jakarta Utara,Samsung Official Store,handphone
Samsung Galaxy A54 5G 8/256GB 8/128GB Garasni Resmi A54 Not A33 A34,"Rp4,91jt - Rp5,9jt",4.9,1rb+ terjual,Jakarta Pusat,Distributor Ponsel,handphone
Samsung Galaxy A24 LTE 8/128GB,"Rp3,26jt - Rp3,28jt",4.9,1rb+ terjual,Dilayani Tokopedia,Samsung Official Store,handphone
Infinix Note 30 8/256GB - Up To 16GB - 120 HZ Screen - 8/256,Rp2.025.000,5.0,2rb+ terjual,Jakarta Utara,Infinix Official Store,handphone
PROMO Xiaomi Redmi Note 11 4/128GB Garansi Resmi,Rp1.591.000,5.0,4rb+ terjual,Jakarta Pusat,jikalaku,handphone
SAMSUNG GALAXY M23 5G - NFC - 6GB 128GB 6/128 - GARANSI RESMI,"Rp2,88jt - Rp3,69jt",5.0,750+ terjual,Dilayani Tokopedia,Shopyz ID,handphone
Realme C53 6/128GB LTE 33W NFC Garansi Resmi not C55 C35 C33 C30,"Rp1,7jt - Rp2,49jt",4.9,500+ terjual,Jakarta Pusat,Onestop Ponsel,handphone
Infinix Note 30 PRO 8/256GB -Up To 16GB- 108MP - 8/256 Garansi Resmi,Rp2.629.000,5.0,750+ terjual,Jakarta Utara,Infinix Official Store,handphone
