Name,Sell,Sold,Rating,Category,ShopName,Location
samsung,5999000,90,5,handphone,mhi - samsung authorized,jakarta selatan
samsung,17999000,5,5,handphone,mhi - samsung authorized,jakarta selatan
vivo,698000,100,4.9,handphone,gudang phone cell 88,jakarta barat
samsung,1369000,100,4.9,handphone,all_shope99,jakarta timur
samsung,4196000,100,4.8,handphone,tokohapedia,jakarta pusat
iphone,15400000,500,5,handphone,ismile official store,jakarta pusat
oppo,21300000,100,5,handphone,super_gadget,jakarta pusat
iphone,19800000,250,4.8,handphone,ismile official store,jakarta pusat
iphone,11300000,1000,5,handphone,ismile official store,jakarta pusat
iphone,12700000,1000,4.9,handphone,ismile official store,jakarta pusat
vivo,4954000,100,4.9,handphone,onestop ponsel,jakarta pusat
oppo,1556000,250,5,handphone,indotechstore,jakarta pusat
vivo,380000,500,4.8,handphone,daystore_id,jakarta barat
oppo,2001000,500,5,handphone,indotechstore,jakarta pusat
samsung,1368000,100,4.9,handphone,duniagadgetku,jakarta barat
iphone,11300000,5000,5,handphone,igoods gadget,jakarta barat
samsung,10900000,3000,4.9,handphone,samsung official store,jakarta utara
samsung,49100000,1000,4.9,handphone,distributor ponsel,jakarta pusat
samsung,32600000,1000,4.9,handphone,samsung official store,dilayani tokopedia
xiaomi,1591000,4000,5,handphone,jikalaku,jakarta pusat
samsung,28800000,750,5,handphone,shopyz id,dilayani tokopedia
samsung,1710000,500,4.9,handphone,samsung official store,jakarta utara
samsung,6499000,2,5,handphone,mhi - samsung authorized,jakarta selatan
samsung,3000000,24,5,handphone,l 10 nel,depok
samsung,1699000,2,5,handphone,mhi - samsung authorized,jakarta selatan
iphone,12800000,750,5,handphone,igoods gadget,jakarta barat
oppo,865000,100,4.9,handphone,infinitite shop,jakarta barat
samsung,40600000,1000,5,handphone,jikalaku,jakarta pusat
samsung,16600000,100,5,handphone,super_gadget,jakarta pusat
samsung,973000,3000,4.9,handphone,acs,jakarta pusat
xiaomi,967000,250,5,handphone,dewa ponsel rakyat,jakarta pusat
samsung,5599000,500,4.9,handphone,samsung official store,jakarta utara
xiaomi,10900000,250,5,handphone,gadget point store,jakarta pusat
iphone,11400000,3000,5,handphone,universe store,jakarta utara
iphone,15500000,100,4.9,handphone,studio ponsel,jakarta pusat
iphone,40900,5000,4.9,handphone,robot official shop,kab. karawang
