Name,Sell,Sold,Rating,Category,ShopName,Location
advan,7299000,1000,4.9,laptop,advan official store,kab. tangerang
advan,2299000,2000,4.9,laptop,advan official store,kab. tangerang
hp,1830510,1000,4.6,laptop,debby batavia computer,bekasi
macbook,10829500,250,4.9,laptop,scorpio electro,jakarta pusat
macbook,11875000,2000,5,laptop,studio ponsel,jakarta pusat
macbook,14415000,1000,4.9,laptop,studio ponsel,jakarta pusat
advan,7299000,1000,4.9,laptop,advan official store,kab. tangerang
asus,8632000,100,4.9,laptop,amd official store,jakarta utara
hp,1775000,3,5,laptop,dave com,jakarta barat
hp,1830510,100,4.8,laptop,debby batavia computer,bekasi
acer,2475000,100,4.8,laptop,dave com,jakarta barat
asus,7358000,500,5,laptop,top tech,jakarta utara
asus,4189000,1000,4.9,laptop,protech computer,jakarta pusat
macbook,22065000,1000,4.9,laptop,studio ponsel,jakarta pusat
hp,4589000,30,5,laptop,real tech - hp authorized,jakarta selatan
macbook,11999000,250,5,laptop,jikalaku,jakarta pusat
advan,2061500,100,5,laptop,scorpio electro,jakarta pusat
asus,6579000,100,5,laptop,royalltech,jakarta utara
asus,7509000,250,5,laptop,distributor laptop id,jakarta pusat
hp,4229000,100,5,laptop,royalltech,jakarta utara
lenovo,4999000,250,4.9,laptop,thinkpad official store,jakarta utara
lenovo,1750000,4,4.7,laptop,laptop valley,jakarta utara
lenovo,3988000,9,5,laptop,lenovo jatim,surabaya
hp,1236510,7,5,laptop,debby batavia computer,bekasi
lenovo,1760000,750,4.9,laptop,gitech laptop,bandung
asus,6879000,100,4.9,laptop,intel store id,jakarta utara
lenovo,5599000,750,4.9,laptop,thinkpad official store,jakarta utara
acer,6653000,1000,4.9,laptop,collins official,jakarta pusat
macbook,11465000,1000,5,laptop,dwi company,jakarta barat
hp,6261000,100,5,laptop,amd official store,jakarta utara
asus,7999000,100,5,laptop,top tech,jakarta utara
advan,5399000,500,4.9,laptop,advan official store,kab. tangerang
advan,7299000,1000,4.9,laptop,advan official it store,kab. tangerang
macbook,25575000,1000,4.9,laptop,studio ponsel,jakarta pusat
asus,5190000,19,5,laptop,it-shop-online,surabaya
hp,4920000,3,5,laptop,gemini-elektronik,jakarta barat
asus,13807000,100,4.9,laptop,collins official,jakarta pusat
hp,7529000,100,4.9,laptop,agres - hp authorized,jakarta utara
lenovo,4999000,250,5,laptop,rogs store,jakarta utara
hp,6099000,250,5,laptop,sinarmulia sukses makmur,jakarta barat
asus,4380000,500,5,laptop,distributor laptop id,jakarta pusat
asus,8779000,250,4.9,laptop,onestop gaming,jakarta pusat
hp,9299000,40,4.8,laptop,top tech,jakarta utara
acer,12508000,250,4.9,laptop,intel store id,jakarta utara
lenovo,2295000,100,5,laptop,octalcomputer,jakarta pusat
hp,7368000,100,5,laptop,top tech,jakarta utara
acer,8950000,30,4.9,laptop,top tech,jakarta utara
lenovo,2399000,90,5,laptop,samsan_tech,jakarta barat
acer,8270000,40,5,laptop,acer authorized store jakarta,jakarta utara
asus,6300000,100,4.9,laptop,agres id,jakarta utara
lenovo,3900000,90,4.9,laptop,mr_elektronik,jakarta barat
asus,6399000,100,4.8,laptop,protech computer,jakarta pusat
lenovo,7299000,40,4.9,laptop,top tech,jakarta utara
lenovo,7649000,250,5,laptop,gateway indonesia comp,jakarta utara
asus,12239000,80,4.9,laptop,collins official,jakarta pusat
macbook,15799000,250,5,laptop,big berry cellular,jakarta utara
lenovo,8599000,18,5,laptop,rogs store,jakarta utara
asus,4049000,250,5,laptop,hexxacom,kediri
asus,13464000,250,4.9,laptop,collins official,jakarta pusat
asus,12599000,90,5,laptop,teknotrend,jakarta pusat
asus,8299000,750,5,laptop,protech computer,jakarta pusat
hp,11749000,60,4.9,laptop,rogs store,jakarta utara
acer,14699000,30,5,laptop,acer authorized store jakarta,jakarta utara
advan,2299000,2000,4.9,laptop,advan official store,kab. tangerang
acer,9789000,100,4.9,laptop,collins official,jakarta pusat
lenovo,1350000,70,5,laptop,wilaza tech,jakarta pusat
